Step	t	Current temperature	KineticEnergy	Potential Energy	Internal Energy	Pressure	Density	RgH	RgP	RgAll	Bond length Average
303000	30.300000	0.102508	8.456919	-142.844010	-134.387091	0.000004	0.000040	1.791913	1.978503	1.948063	1.000000
304000	30.400000	0.097787	8.067463	-141.880372	-133.812909	0.000004	0.000040	1.786764	1.972540	1.942191	1.000000
309000	30.900000	0.102535	8.459129	-145.012704	-136.553576	0.000004	0.000040	1.773327	1.937491	1.918406	1.000000
311000	31.100000	0.099008	8.168138	-145.978093	-137.809955	0.000004	0.000040	1.769539	1.940109	1.918582	1.000000
312000	31.200000	0.101650	8.386112	-145.907563	-137.521451	0.000004	0.000040	1.762073	1.939587	1.914203	1.000000
313000	31.300000	0.099909	8.242472	-146.245995	-138.003523	0.000004	0.000040	1.755861	1.938255	1.909246	1.000000
314000	31.400000	0.098129	8.095630	-145.512468	-137.416839	0.000004	0.000040	1.753463	1.932244	1.904613	1.000000
316000	31.600000	0.098159	8.098147	-141.382677	-133.284531	0.000004	0.000040	1.760070	1.933315	1.908188	1.000000
318000	31.800000	0.096152	7.932540	-142.418570	-134.486030	0.000004	0.000040	1.790503	1.943297	1.927668	1.000000
319000	31.900000	0.105107	8.671365	-143.902272	-135.230907	0.000004	0.000040	1.796019	1.941425	1.928615	1.000000
326000	32.600000	0.098560	8.131223	-144.268055	-136.136832	0.000004	0.000040	1.795272	1.901835	1.902868	1.000000
331000	33.100000	0.102166	8.428694	-147.397830	-138.969136	0.000004	0.000040	1.799854	1.912974	1.907618	1.000000
332000	33.200000	0.097512	8.044745	-147.382778	-139.338034	0.000004	0.000040	1.805492	1.914346	1.910612	1.000000
333000	33.300000	0.101061	8.337524	-146.561404	-138.223880	0.000004	0.000040	1.812044	1.914845	1.914127	1.000000
334000	33.400000	0.098781	8.149406	-146.270599	-138.121193	0.000004	0.000040	1.814182	1.916893	1.917340	1.000000
337000	33.700000	0.102900	8.489227	-150.835183	-142.345956	0.000004	0.000040	1.767304	1.909052	1.895860	1.000000
338000	33.800000	0.099740	8.228529	-152.464327	-144.235798	0.000004	0.000040	1.757081	1.894784	1.883717	1.000000
339000	33.900000	0.101017	8.333869	-152.100876	-143.767006	0.000004	0.000040	1.753946	1.884447	1.877081	1.000000
341000	34.100000	0.098963	8.164408	-151.594246	-143.429838	0.000004	0.000040	1.756572	1.884427	1.880232	1.000000
342000	34.200000	0.096398	7.952830	-150.575617	-142.622787	0.000004	0.000040	1.756902	1.890356	1.884121	1.000000
348000	34.800000	0.102062	8.420148	-149.652217	-141.232069	0.000004	0.000040	1.762345	1.901683	1.888913	1.000000
350000	35.000000	0.100168	8.263859	-149.699513	-141.435653	0.000004	0.000040	1.766739	1.930772	1.909060	1.000000
351000	35.100000	0.098123	8.095147	-148.162748	-140.067601	0.000004	0.000040	1.761022	1.944673	1.915613	1.000000
